name,division,location,notice_date,start_day,end_day,release_date,rink
청주 SK VIEW 자이,민영,충청북도 청주시 흥덕구 봉명동 193,2022-06-10,2022-06-20,2022-06-23,2022-06-29,http://bmsg.co.kr
힐스테이트 불로 포레스트,민영,인천광역시 서구 불로동 불로지구 9블록 1로트 및 2로트(불로동 82번지 일원),2022-06-10,2022-06-20,2022-06-23,2022-06-29,https://www.hillstate.co.kr/s/#bulro_forest
음성 푸르지오 센터피크,민영,충청북도 음성군 대소면 성본산업단지 B2블럭,2022-06-09,2022-06-14,2022-06-17,2022-06-23,https://www.prugio.com/hc/2022/eumseong2/main/
주영 더 팰리스 지븐,민영,경상남도 통영시 광도면 죽림리 263-1번지 일원,2022-06-03,2022-06-15,2022-06-17,2022-06-23,https://blog.naver.com/jeo2505
고흥 승원팰리체 하이엔드,민영,전라남도 고흥군 고흥읍 남계리 1043번지,2022-06-03,2022-06-08,2022-06-10,2022-06-16,http://www.고흥승원팰리체.com
힐스테이트 황성,민영,경상북도 경주시 황성동 45번지 일원,2022-05-27,2022-06-07,2022-06-09,2022-06-15,https://www.hillstate.co.kr/s/#hwangsung
소사역 한라비발디 프레스티지,민영,경기도 부천시 소사본동 70-12,2022-05-27,2022-06-07,2022-06-10,2022-06-16,https://brand.halla.co.kr/bucheon
장흥역 경남아너스빌 북한산뷰 B-1(5)블럭(2단지),민영,경기도 양주시 장흥면 일영리 377외 29필지,2022-05-27,2022-06-07,2022-06-10,2022-06-16,http://www.장흥역경남아너스빌.kr
강서자이 에코델타(20블록) 공공분양주택,국민,부산광역시 강서구 강동동 공동 20BL,2022-05-27,2022-06-08,2022-06-13,2022-06-17,https://xi.co.kr/ecd
울산 온양발리 신일해피트리 더루츠,민영,울산광역시 울주군 온양읍 발리440-1일원,2022-05-20,2022-05-30,2022-06-02,2022-06-09,http://www.온양발리신일해피트리.com
